ReviewID,ProductID,ProductCategory,ProductName,ReviewText,Rating,ReviewDate,VerifiedPurchase,HelpfulVotes,CleanedText,Sentiment,SentimentScore,RatingSentiment,Month
REV002927,HOM1533,Home & Kitchen,Air Fryer,"excellent build quality, arrived quickly and works great.",5,2023-07-30,Yes,1,excellent build quality arrived quickly works great,Positive,0.8316,Positive,2023-07
REV001414,BEA1195,Beauty,Lip Balm Set,"reasonable quality, similar to other products in this range.",3,2024-05-05,Yes,1,reasonable quality similar other products range,Neutral,0.0,Neutral,2024-05
REV003266,HOM1762,Home & Kitchen,Blender,"it's okay, does the job but nothing special. We'll see how it holds up.",3,2024-11-12,No,0,okay job nothing special ll see how holds up,Negative,-0.3479,Neutral,2024-11
REV002722,BEA1315,Beauty,Lip Balm Set,"great quality and works perfectly, highly recommend.",4,2023-01-27,Yes,5,great quality works perfectly highly recommend,Positive,0.902,Positive,2023-01
REV002735,SPO1884,Sports & Outdoors,Water Bottle,"excellent build quality, arrived quickly and works great.",5,2023-07-28,No,1,excellent build quality arrived quickly works great,Positive,0.8316,Positive,2023-07
REV000764,HOM1489,Home & Kitchen,Non-Stick Pan Set,"great quality and works perfectly, highly recommend. Fast shipping too!",4,2024-09-27,Yes,0,great quality works perfectly highly recommend fast shipping too,Positive,0.9078,Positive,2024-09
REV001655,SPO1394,Sports & Outdoors,Water Bottle,"very disappointed, stopped working after a few days. Would not recommend to anyone.",1,2024-06-30,No,2,disappointed stopped working after few days recommend anyone,Negative,-0.7705,Negative,2024-06
REV003376,CLO1433,Clothing,Cotton T-Shirt,"it's fine, though the packaging could be better. Still testing it out.",3,2024-03-11,No,0,fine though packaging better still testing out,Positive,0.5719,Neutral,2024-03
REV000858,CLO1915,Clothing,Denim Jeans,"excellent build quality, arrived quickly and works great.",5,2023-08-29,Yes,0,excellent build quality arrived quickly works great,Positive,0.8316,Positive,2023-08
REV000911,ELE1773,Electronics,Smartwatch,"very satisfied, the quality exceeded what I paid for.",5,2024-09-04,Yes,1,satisfied quality exceeded what paid,Positive,0.4754,Positive,2024-09
REV003057,ELE1940,Electronics,Laptop Stand,"excellent build quality, arrived quickly and works great. Would buy again.",5,2023-08-12,Yes,3,excellent build quality arrived quickly works great buy again,Positive,0.8316,Positive,2023-08
REV002163,SPO1586,Sports & Outdoors,Water Bottle,"gets the job done, nothing more nothing less. We'll see how it holds up.",3,2024-10-09,Yes,0,gets job done nothing more nothing less ll see how holds up,Neutral,0.0,Neutral,2024-10
REV003433,SPO1648,Sports & Outdoors,Water Bottle,"reasonable quality, similar to other products in this range. Still testing it out.",3,2023-11-09,Yes,1,reasonable quality similar other products range still testing out,Neutral,0.0,Neutral,2023-11
REV001175,BEA1338,Beauty,Sunscreen SPF50,"excellent build quality, arrived quickly and works great.",5,2023-04-08,Yes,5,excellent build quality arrived quickly works great,Positive,0.8316,Positive,2023-04
REV000919,HOM1929,Home & Kitchen,Vacuum Cleaner,"gets the job done, nothing more nothing less. Might update this review later.",3,2024-01-29,No,0,gets job done nothing more nothing less might update review later,Neutral,0.0,Neutral,2024-01
REV001466,CLO1882,Clothing,Denim Jeans,"outstanding performance, worth every penny.",5,2024-03-11,Yes,1,outstanding performance worth every penny,Positive,0.7096,Positive,2024-03
REV001421,CLO1102,Clothing,Cotton T-Shirt,"outstanding performance, worth every penny. Would buy again.",5,2023-11-23,Yes,0,outstanding performance worth every penny buy again,Positive,0.7096,Positive,2023-11
REV002890,HOM1497,Home & Kitchen,Air Fryer,works flawlessly and looks even better in person. Would buy again.,5,2024-02-06,Yes,0,works flawlessly looks even better person buy again,Positive,0.5719,Positive,2024-02
REV003246,HOM1152,Home & Kitchen,Air Fryer,"this is fantastic, exactly what I needed. Would buy again.",5,2023-10-24,Yes,0,fantastic exactly what needed buy again,Positive,0.5574,Positive,2023-10
REV000582,HOM1681,Home & Kitchen,Vacuum Cleaner,"not as advertised, very frustrating purchase. Would not recommend to anyone.",1,2023-03-16,Yes,8,advertised frustrating purchase recommend anyone,Negative,-0.6489,Negative,2023-03
REV001170,CLO1006,Clothing,Cotton T-Shirt,"superb product, will definitely buy again. Fast shipping too!",5,2023-03-19,Yes,5,superb product definitely buy again fast shipping too,Positive,0.7959,Positive,2023-03
REV003195,BEA1541,Beauty,Hair Dryer,works flawlessly and looks even better in person. Would buy again.,4,2023-12-01,Yes,4,works flawlessly looks even better person buy again,Positive,0.5719,Positive,2023-12
REV002052,BEA1011,Beauty,Sunscreen SPF50,"this is fantastic, exactly what I needed. Fast shipping too!",5,2024-04-29,No,2,fantastic exactly what needed fast shipping too,Positive,0.5983,Positive,2024-04
REV003639,BEA1358,Beauty,Shampoo,"absolutely love this product, exceeded my expectations. Five stars from me.",4,2024-09-15,Yes,1,absolutely love product exceeded expectations five stars me,Positive,0.6697,Positive,2024-09
REV003200,BOO1617,Books,Cookbook,"gets the job done, nothing more nothing less.",3,2023-03-21,No,3,gets job done nothing more nothing less,Neutral,0.0,Neutral,2023-03
REV003083,SPO1702,Sports & Outdoors,Water Bottle,"regret buying this, quality is really bad. Wish I'd read reviews first.",1,2024-04-30,Yes,2,regret buying quality bad wish read reviews first,Negative,-0.5595,Negative,2024-04
REV002987,CLO1403,Clothing,Denim Jeans,"this is fantastic, exactly what I needed. Five stars from me.",4,2023-04-12,No,3,fantastic exactly what needed five stars me,Positive,0.5574,Positive,2023-04
REV003422,SPO1919,Sports & Outdoors,Water Bottle,"excellent build quality, arrived quickly and works great. My whole family loves it.",4,2024-05-19,Yes,3,excellent build quality arrived quickly works great whole family loves,Positive,0.91,Positive,2024-05
REV002893,HOM1859,Home & Kitchen,Non-Stick Pan Set,"absolutely love this product, exceeded my expectations. Fast shipping too!",5,2024-01-09,Yes,4,absolutely love product exceeded expectations fast shipping too,Positive,0.6989,Positive,2024-01
REV002867,BEA1001,Beauty,Lip Balm Set,"very satisfied, the quality exceeded what I paid for. Would buy again.",5,2024-08-21,No,0,satisfied quality exceeded what paid buy again,Positive,0.4754,Positive,2024-08
REV003254,SPO1559,Sports & Outdoors,Yoga Mat,"poor quality, not worth the money at all. Wish I'd read reviews first.",2,2024-10-27,Yes,11,poor quality worth money all wish read reviews first,Negative,-0.2654,Negative,2024-10
REV000038,CLO1225,Clothing,Winter Jacket,"amazing value for the price, very happy with this purchase. Would buy again.",5,2023-12-21,Yes,12,amazing value price happy purchase buy again,Positive,0.8805,Positive,2023-12
REV001365,SPO1676,Sports & Outdoors,Water Bottle,"it's okay, does the job but nothing special. Might update this review later.",3,2023-03-14,Yes,2,okay job nothing special might update review later,Negative,-0.3479,Neutral,2023-03
REV002295,ELE1505,Electronics,Laptop Stand,"great quality and works perfectly, highly recommend. Fast shipping too!   <br>  ",5,2023-06-06,Yes,0,great quality works perfectly highly recommend fast shipping too,Positive,0.9078,Positive,2023-06
REV003707,ELE1503,Electronics,Laptop Stand,works flawlessly and looks even better in person. Fast shipping too!,5,2023-01-27,No,15,works flawlessly looks even better person fast shipping too,Positive,0.6114,Positive,2023-01
REV000011,ELE1726,Electronics,Laptop Stand,"very disappointed, stopped working after a few days. Would not recommend to anyone.",2,2023-09-07,No,6,disappointed stopped working after few days recommend anyone,Negative,-0.7705,Negative,2023-09
REV000058,BOO1279,Books,Mystery Novel,perfect fit and great customer service too. Five stars from me.,5,2024-11-01,No,9,perfect fit great customer service too five stars me,Positive,0.8834,Positive,2024-11
REV002815,ELE1398,Electronics,Bluetooth Speaker,"amazing value for the price, very happy with this purchase. Would buy again.",5,2024-08-23,Yes,0,amazing value price happy purchase buy again,Positive,0.8805,Positive,2024-08
REV003024,HOM1763,Home & Kitchen,Non-Stick Pan Set,"gets the job done, nothing more nothing less. Still testing it out.",3,2023-09-23,Yes,0,gets job done nothing more nothing less still testing out,Neutral,0.0,Neutral,2023-09
REV001115,CLO1062,Clothing,Winter Jacket,"average product, met basic expectations. We'll see how it holds up.",3,2023-11-26,Yes,2,average product met basic expectations ll see how holds up,Neutral,0.0,Neutral,2023-11
REV002698,BOO1696,Books,Sci-Fi Trilogy,"gets the job done, nothing more nothing less. Might update this review later.",3,2023-07-12,Yes,0,gets job done nothing more nothing less might update review later,Neutral,0.0,Neutral,2023-07
REV002130,CLO1182,Clothing,Denim Jeans,"amazing value for the price, very happy with this purchase. Fast shipping too!",5,2024-04-02,Yes,4,amazing value price happy purchase fast shipping too,Positive,0.8881,Positive,2024-04
REV003402,BEA1150,Beauty,Lip Balm Set,"not bad, not great, just an average item. We'll see how it holds up.",3,2024-08-28,Yes,0,bad great average item ll see how holds up,Positive,0.6754,Neutral,2024-08
REV000053,CLO1807,Clothing,Denim Jeans,"this is fantastic, exactly what I needed.",5,2024-01-19,Yes,2,fantastic exactly what needed,Positive,0.5574,Positive,2024-01
REV003054,BOO1217,Books,Business Book,perfect fit and great customer service too. Would buy again.,5,2024-08-01,Yes,0,perfect fit great customer service too buy again,Positive,0.8834,Positive,2024-08
REV003818,SPO1228,Sports & Outdoors,Water Bottle,"excellent build quality, arrived quickly and works great. Fast shipping too!",5,2024-11-29,Yes,9,excellent build quality arrived quickly works great fast shipping too,Positive,0.8439,Positive,2024-11
REV002966,CLO1452,Clothing,Cotton T-Shirt,perfect fit and great customer service too. Five stars from me.,5,2024-10-25,Yes,2,perfect fit great customer service too five stars me,Positive,0.8834,Positive,2024-10
REV000034,CLO1134,Clothing,Denim Jeans,"does not match the description, quite misleading.",2,2024-03-16,Yes,2,match description quite misleading,Negative,-0.4576,Negative,2024-03
REV002503,BOO1989,Books,Mystery Novel,"broke within a week, waste of money. Would not recommend to anyone.",1,2023-01-31,Yes,2,broke within week waste money recommend anyone,Negative,-0.7724,Negative,2023-01
REV001600,BEA1347,Beauty,Shampoo,"absolutely love this product, exceeded my expectations.",5,2023-08-31,Yes,11,absolutely love product exceeded expectations,Positive,0.6697,Positive,2023-08
REV002761,SPO1149,Sports & Outdoors,Hiking Backpack,"outstanding performance, worth every penny.",5,2024-11-06,Yes,6,outstanding performance worth every penny,Positive,0.7096,Positive,2024-11
REV001975,CLO1532,Clothing,Cotton T-Shirt,"excellent build quality, arrived quickly and works great. Fast shipping too!",5,2024-01-19,Yes,5,excellent build quality arrived quickly works great fast shipping too,Positive,0.8439,Positive,2024-01
REV000350,HOM1044,Home & Kitchen,Coffee Maker,"absolutely love this product, exceeded my expectations.",5,2024-11-09,Yes,2,absolutely love product exceeded expectations,Positive,0.6697,Positive,2024-11
REV000434,BOO1516,Books,Sci-Fi Trilogy,"it's okay, does the job but nothing special. Still testing it out.",3,2024-08-15,Yes,2,okay job nothing special still testing out,Negative,-0.3479,Neutral,2024-08
REV002419,CLO1353,Clothing,Winter Jacket,works flawlessly and looks even better in person. Five stars from me.   <br>  ,4,2023-12-03,Yes,3,works flawlessly looks even better person five stars me,Positive,0.5719,Positive,2023-12
REV003304,BOO1291,Books,Sci-Fi Trilogy,"decent for the price, but not amazing. We'll see how it holds up.",3,2023-11-03,Yes,1,decent price amazing ll see how holds up,Negative,-0.6259,Neutral,2023-11
REV003475,HOM1147,Home & Kitchen,Vacuum Cleaner,acceptable quality for casual use.,3,2023-05-22,Yes,0,acceptable quality casual use,Positive,0.4767,Neutral,2023-05
REV000280,HOM1677,Home & Kitchen,Vacuum Cleaner,"very satisfied, the quality exceeded what I paid for. Five stars from me.",5,2024-03-30,No,7,satisfied quality exceeded what paid five stars me,Positive,0.4754,Positive,2024-03
REV003405,BOO1243,Books,Sci-Fi Trilogy,"average product, met basic expectations. Might update this review later.",3,2024-10-10,Yes,1,average product met basic expectations might update review later,Neutral,0.0,Neutral,2024-10
